Timestamp,Pressure (kPa),Hooray Cycle #
2025-01-13 08:03:59.553692,9.06,22
2025-01-13 08:03:59.654563,6.1,22
2025-01-13 08:03:59.758416,3.5,22
2025-01-13 08:03:59.862558,13.93,22
2025-01-13 08:03:59.969122,13.96,23
2025-01-13 08:04:00.075099,2.39,24
2025-01-13 08:04:00.176331,14.95,24
2025-01-13 08:04:00.281913,4.59,25
2025-01-13 08:04:00.387013,5.3,25
2025-01-13 08:04:00.491314,2.62,25
2025-01-13 08:04:00.597056,6.14,25
2025-01-13 08:04:00.705038,9.93,25
2025-01-13 08:04:00.809969,7.55,25
2025-01-13 08:04:03.710329,6.5,25
2025-01-13 08:04:03.811263,3.85,25
2025-01-13 08:04:03.912886,10.16,25
2025-01-13 08:04:04.711375,12.33,26
2025-01-13 08:04:04.818613,12.53,26
2025-01-13 08:04:04.924364,3.7,26
2025-01-13 08:04:05.030419,3.42,26
2025-01-13 08:04:05.136613,12.74,26
2025-01-13 08:04:05.242790,10.94,26
2025-01-13 08:04:05.351548,11.79,26
2025-01-13 08:04:05.455729,0.24,26
2025-01-13 08:04:05.562251,14.93,26
2025-01-13 08:04:05.669112,10.91,26
2025-01-13 08:04:05.772945,4.71,26
2025-01-13 08:04:05.879049,7.91,26
2025-01-13 08:04:05.981909,2.71,26
2025-01-13 08:04:06.089105,12.01,26
2025-01-13 08:04:06.196196,0.84,26
2025-01-13 08:04:06.300770,2.96,26
2025-01-13 08:04:06.407269,5.42,26
2025-01-13 08:04:06.510496,12.41,26
2025-01-13 08:04:06.611847,10.64,26
2025-01-13 08:04:06.716699,11.2,26
2025-01-13 08:04:06.822999,13.93,26
2025-01-13 08:04:06.924997,11.05,26
2025-01-13 08:04:07.028454,6.63,26
2025-01-13 08:04:07.134143,6.66,26
2025-01-13 08:04:07.235534,10.7,26
2025-01-13 08:04:07.336379,8.88,26
2025-01-13 08:04:07.440927,4.04,26
2025-01-13 08:04:07.545370,11.42,26
2025-01-13 08:04:07.649815,2.18,26
2025-01-13 08:04:07.753523,5.95,26
2025-01-13 08:04:07.858969,14.6,26
2025-01-13 08:04:07.961845,7.17,26
2025-01-13 08:04:08.067305,4.29,26
2025-01-13 08:04:08.172957,0.01,26
2025-01-13 08:04:08.278658,12.98,26
2025-01-13 08:04:08.383788,6.88,26
2025-01-13 08:04:08.488994,7.85,26
2025-01-13 08:04:08.591438,4.66,26
2025-01-13 08:04:08.698088,10.02,26
2025-01-13 08:04:08.801993,11.44,26
2025-01-13 08:04:08.907977,10.28,26
2025-01-13 08:04:09.013525,11.37,26
2025-01-13 08:04:09.119046,0.69,26
2025-01-13 08:04:09.225040,0.42,26
2025-01-13 08:04:09.328872,8.14,26
2025-01-13 08:04:09.430447,8.01,26
2025-01-13 08:04:09.535342,13.66,26
2025-01-13 08:04:09.640582,12.43,26
2025-01-13 08:04:09.747036,3.81,26
2025-01-13 08:04:09.852711,11.33,26
2025-01-13 08:04:09.954580,3.84,26
2025-01-13 08:04:10.058321,11.41,26
2025-01-13 08:04:10.160666,8.77,26
2025-01-13 08:04:10.263526,6.27,26
2025-01-13 08:04:10.366590,12.33,26
2025-01-13 08:04:10.472747,14.78,26
2025-01-13 08:04:10.577263,9.94,26
2025-01-13 08:04:10.678360,10.31,26
2025-01-13 08:04:10.783329,3.21,26
2025-01-13 08:04:10.889204,2.74,26
2025-01-13 08:04:10.995134,10.83,26
2025-01-13 08:04:11.096768,7.29,26
2025-01-13 08:04:11.200472,9.5,26
2025-01-13 08:04:11.304924,11.83,26
2025-01-13 08:04:11.411276,0.16,26
2025-01-13 08:04:11.513917,2.55,26
2025-01-13 08:04:11.619443,7.71,26
2025-01-13 08:04:11.725202,10.81,26
2025-01-13 08:04:11.829508,1.37,26
2025-01-13 08:04:11.935299,2.22,26
2025-01-13 08:04:12.041506,2.41,26
2025-01-13 08:04:12.146371,13.97,26
2025-01-13 08:04:12.252227,7.99,26
2025-01-13 08:04:12.355117,10.67,26
2025-01-13 08:04:12.460570,6.11,26
2025-01-13 08:04:12.563761,14.89,26
2025-01-13 08:04:12.669601,0.88,26
2025-01-13 08:04:12.775319,6.99,26
2025-01-13 08:04:12.880027,5.66,26
2025-01-13 08:04:12.982060,1.83,26
2025-01-13 08:04:13.084260,1.75,26
2025-01-13 08:04:13.186428,4.76,26
2025-01-13 08:04:13.292217,10.39,26
2025-01-13 08:04:13.397255,10.17,26
2025-01-13 08:04:13.499687,12.75,26
2025-01-13 08:04:13.605967,7.74,26
2025-01-13 08:04:13.712072,13.08,26
2025-01-13 08:04:13.817231,2.36,26
2025-01-13 08:04:13.921732,9.47,26
2025-01-13 08:04:14.025190,10.0,26
2025-01-13 08:04:14.130087,13.91,26
2025-01-13 08:04:14.232347,12.8,26
2025-01-13 08:04:14.336650,0.63,26
2025-01-13 08:04:14.440618,2.79,26
2025-01-13 08:04:14.545581,10.39,26
2025-01-13 08:04:14.650329,5.15,26
2025-01-13 08:04:14.756288,10.55,26
2025-01-13 08:04:14.859666,10.52,26
2025-01-13 08:04:14.962953,14.73,26
2025-01-13 08:04:15.063881,6.64,26
2025-01-13 08:04:15.169831,13.58,26
2025-01-13 08:04:15.276224,4.3,26
2025-01-13 08:04:15.380349,13.39,26
2025-01-13 08:04:15.483401,5.16,26
2025-01-13 08:04:15.589467,1.44,26
2025-01-13 08:04:15.695294,5.65,26
2025-01-13 08:04:15.797124,11.11,26
2025-01-13 08:04:15.903191,10.0,26
2025-01-13 08:04:16.008914,2.17,26
2025-01-13 08:04:16.114685,4.28,26
2025-01-13 08:04:16.216183,4.59,26
2025-01-13 08:04:16.321855,10.52,26
2025-01-13 08:04:16.425533,10.39,26
2025-01-13 08:04:16.527923,1.47,26
2025-01-13 08:04:16.629508,7.89,26
2025-01-13 08:04:16.734916,3.96,26
2025-01-13 08:04:16.839321,9.92,26
2025-01-13 08:04:16.945152,11.79,26
2025-01-13 08:04:17.051612,4.53,26
2025-01-13 08:04:17.157750,12.87,26
2025-01-13 08:04:17.263314,0.77,26
2025-01-13 08:04:17.366027,0.82,26
2025-01-13 08:04:17.472137,3.15,26
2025-01-13 08:04:17.577661,1.83,26
2025-01-13 08:04:17.682706,1.66,26
2025-01-13 08:04:17.787147,8.33,26
2025-01-13 08:04:17.892776,9.03,26
2025-01-13 08:04:17.996298,9.0,26
2025-01-13 08:04:18.098537,10.45,26
2025-01-13 08:04:18.203980,13.68,26
2025-01-13 08:04:18.310530,2.89,26
2025-01-13 08:04:18.416588,6.68,26
2025-01-13 08:04:18.518764,6.06,26
2025-01-13 08:04:18.624781,0.31,26
2025-01-13 08:04:18.729571,2.56,26
2025-01-13 08:04:18.835493,13.28,26
2025-01-13 08:04:18.940466,5.26,26
2025-01-13 08:04:19.046838,13.85,26
2025-01-13 08:04:19.152378,9.51,26
2025-01-13 08:04:19.256590,14.17,26
2025-01-13 08:04:19.361854,12.6,26
2025-01-13 08:04:19.466436,8.75,26
2025-01-13 08:04:19.570257,9.11,26
2025-01-13 08:04:19.675067,13.28,26
2025-01-13 08:04:19.780551,9.62,26
2025-01-13 08:04:19.885630,0.02,26
2025-01-13 08:04:19.991658,0.4,26
2025-01-13 08:04:20.097780,2.55,26
2025-01-13 08:04:20.201854,13.99,26
2025-01-13 08:04:20.305939,6.99,26
2025-01-13 08:04:20.409744,5.6,26
2025-01-13 08:04:20.513240,8.5,26
2025-01-13 08:04:20.617167,1.06,26
2025-01-13 08:04:20.723246,4.5,26
2025-01-13 08:04:20.825772,5.9,26
2025-01-13 08:04:20.931483,2.25,26
2025-01-13 08:04:21.034377,1.27,26
2025-01-13 08:04:21.139167,1.53,26
2025-01-13 08:04:21.795602,2.4,26
2025-01-13 08:04:21.898352,3.56,26
2025-01-13 08:04:22.003295,13.73,26
2025-01-13 08:04:22.105250,1.17,26
2025-01-13 08:04:22.210204,11.38,26
2025-01-13 08:04:22.315127,11.24,26
2025-01-13 08:04:22.421017,9.18,26
2025-01-13 08:04:22.527155,7.84,26
2025-01-13 08:04:22.632397,5.69,26
2025-01-13 08:04:22.738448,10.99,26
2025-01-13 08:04:22.841995,8.13,26
2025-01-13 08:04:22.946370,14.92,26
2025-01-13 08:04:23.051914,4.32,26
2025-01-13 08:04:23.155977,0.07,26
2025-01-13 08:04:23.262037,0.93,26
2025-01-13 08:04:23.367438,9.05,26
2025-01-13 08:04:23.473344,11.14,26
2025-01-13 08:04:23.575575,12.56,26
2025-01-13 08:04:23.678374,12.06,26
2025-01-13 08:04:23.783783,3.31,26
2025-01-13 08:04:23.887930,6.06,26
2025-01-13 08:04:23.993323,8.94,26
2025-01-13 08:04:24.099439,3.75,26
2025-01-13 08:04:24.205556,13.7,26
2025-01-13 08:04:24.309323,10.12,26
2025-01-13 08:04:24.414674,8.34,26
2025-01-13 08:04:24.519015,1.01,26
2025-01-13 08:04:24.623831,11.57,26
2025-01-13 08:04:24.729582,11.72,26
2025-01-13 08:04:24.833675,14.03,26
2025-01-13 08:04:24.937859,11.62,26
2025-01-13 08:04:25.043541,4.19,26
2025-01-13 08:04:25.145281,14.25,26
2025-01-13 08:04:25.250041,8.09,26
2025-01-13 08:04:25.355639,11.05,26
2025-01-13 08:04:25.457063,9.73,26
2025-01-13 08:04:25.559794,2.52,26
2025-01-13 08:04:25.662598,2.61,26
2025-01-13 08:04:25.767545,4.32,26
2025-01-13 08:04:25.874470,9.02,26
2025-01-13 08:04:25.977346,5.21,26
2025-01-13 08:04:26.082942,14.05,26
2025-01-13 08:04:26.188445,8.43,26
2025-01-13 08:04:26.291683,8.63,26
2025-01-13 08:04:26.392609,0.85,26
2025-01-13 08:04:26.533412,7.4,26
2025-01-13 08:04:26.638958,13.71,26
2025-01-13 08:04:26.750171,8.94,26
2025-01-13 08:04:26.851255,0.8,26
2025-01-13 08:04:26.970023,9.42,26
2025-01-13 08:04:27.101934,9.86,26
2025-01-13 08:04:27.204584,12.49,26
2025-01-13 08:04:27.331627,2.3,26
2025-01-13 08:04:27.469256,6.35,26
2025-01-13 08:04:27.574326,5.71,26
2025-01-13 08:04:27.721270,3.76,26
2025-01-13 08:04:27.859823,5.13,26
2025-01-13 08:04:27.972234,11.96,26
2025-01-13 08:04:28.074985,3.98,26
2025-01-13 08:04:28.175915,11.38,26
2025-01-13 08:04:28.280985,9.5,26
2025-01-13 08:04:28.385715,4.39,26
2025-01-13 08:04:28.491939,0.89,26
2025-01-13 08:04:28.595412,2.48,26
2025-01-13 08:04:28.734178,1.51,26
2025-01-13 08:04:28.834817,3.36,26
2025-01-13 08:04:28.940452,14.16,26
2025-01-13 08:04:29.047885,7.26,26
2025-01-13 08:04:29.154015,4.67,26
2025-01-13 08:04:29.259584,14.53,26
2025-01-13 08:04:29.363007,4.94,26
2025-01-13 08:04:29.468630,14.55,26
2025-01-13 08:04:29.574523,12.91,26
2025-01-13 08:04:29.679563,7.78,26
2025-01-13 08:04:29.784366,12.11,26
2025-01-13 08:04:29.885992,2.25,26
2025-01-13 08:04:29.991535,8.33,26
2025-01-13 08:04:30.095466,5.97,26
2025-01-13 08:04:30.201080,11.35,26
2025-01-13 08:04:30.306744,8.4,26
2025-01-13 08:04:30.411189,11.86,26
2025-01-13 08:04:30.513155,2.93,26
2025-01-13 08:04:30.618769,3.86,26
2025-01-13 08:04:30.724541,8.04,26
2025-01-13 08:04:30.825668,8.71,26
2025-01-13 08:04:30.931483,3.31,26
2025-01-13 08:04:31.037187,5.07,26
2025-01-13 08:04:31.142820,6.56,26
2025-01-13 08:04:31.248436,11.74,26
2025-01-13 08:04:31.354009,7.95,26
2025-01-13 08:04:31.459779,9.58,26
2025-01-13 08:04:31.565678,7.76,26
2025-01-13 08:04:31.671507,2.02,26
2025-01-13 08:04:31.772542,7.47,26
2025-01-13 08:04:31.876532,3.26,26
2025-01-13 08:04:31.979662,9.56,26
2025-01-13 08:04:32.085438,3.33,26
2025-01-13 08:04:32.191300,14.92,26
2025-01-13 08:04:32.300100,8.8,26
2025-01-13 08:04:32.405873,6.1,26
2025-01-13 08:04:32.507031,5.61,26
2025-01-13 08:04:32.610093,10.84,26
2025-01-13 08:04:32.714337,2.12,26
2025-01-13 08:04:32.818612,3.13,26
2025-01-13 08:04:32.921321,1.38,26
2025-01-13 08:04:33.026996,2.08,26
2025-01-13 08:04:33.132163,1.07,26
2025-01-13 08:04:33.236025,14.75,26
2025-01-13 08:04:33.337983,5.57,26
2025-01-13 08:04:33.439516,4.37,26
2025-01-13 08:04:33.543026,3.27,26
2025-01-13 08:04:33.647069,6.18,26
2025-01-13 08:04:33.751005,11.12,26
2025-01-13 08:04:33.854975,8.42,26
2025-01-13 08:04:33.960474,10.77,26
2025-01-13 08:04:34.062989,4.4,26
2025-01-13 08:04:34.168612,5.41,26
2025-01-13 08:04:34.274165,0.98,26
2025-01-13 08:04:34.379612,0.55,26
2025-01-13 08:04:34.485223,3.18,26
2025-01-13 08:04:34.589751,10.39,26
2025-01-13 08:04:34.694574,9.77,26
2025-01-13 08:04:34.797199,14.41,26
2025-01-13 08:04:34.902797,0.21,26
2025-01-13 08:04:35.004402,2.43,26
2025-01-13 08:04:35.106413,14.48,26
2025-01-13 08:04:35.212036,3.41,26
2025-01-13 08:04:35.317884,7.4,26
2025-01-13 08:04:35.423882,10.11,26
2025-01-13 08:04:35.529771,11.39,26
2025-01-13 08:04:35.630853,4.95,26
2025-01-13 08:04:35.735392,13.01,26
2025-01-13 08:04:35.837926,9.79,26
2025-01-13 08:04:35.941223,5.13,26
2025-01-13 08:04:36.046911,12.9,26
2025-01-13 08:04:36.149161,6.42,26
2025-01-13 08:04:36.254906,14.3,26
2025-01-13 08:04:36.356658,5.12,26
2025-01-13 08:04:36.461469,9.23,26
2025-01-13 08:04:36.566731,2.18,26
2025-01-13 08:04:36.672503,0.13,26
2025-01-13 08:04:36.777704,4.79,26
2025-01-13 08:04:36.883434,12.94,26
2025-01-13 08:04:36.984209,5.96,26
2025-01-13 08:04:37.087967,13.33,26
2025-01-13 08:04:37.193557,1.71,26
2025-01-13 08:04:37.295616,2.66,26
2025-01-13 08:04:37.401354,5.64,26
2025-01-13 08:04:37.504585,9.78,26
2025-01-13 08:04:37.610074,1.72,26
2025-01-13 08:04:37.712389,13.21,26
2025-01-13 08:04:37.817808,0.74,26
2025-01-13 08:04:37.921963,2.02,26
2025-01-13 08:04:38.027488,0.32,26
2025-01-13 08:04:38.133144,10.57,26
2025-01-13 08:04:38.237982,3.1,26
2025-01-13 08:04:38.343531,10.01,26
2025-01-13 08:04:38.447691,9.65,26
2025-01-13 08:04:38.549816,8.4,26
2025-01-13 08:04:38.654603,5.95,26
2025-01-13 08:04:38.758621,13.34,26
2025-01-13 08:04:38.862587,10.13,26
2025-01-13 08:04:38.968095,13.15,26
2025-01-13 08:04:39.073594,10.7,26
2025-01-13 08:04:39.179052,10.41,26
2025-01-13 08:04:39.283295,3.45,26
2025-01-13 08:04:39.388792,2.92,26
2025-01-13 08:04:39.494315,9.88,26
2025-01-13 08:04:39.599877,11.2,26
2025-01-13 08:04:39.704652,5.54,26
2025-01-13 08:04:39.810030,14.24,26
2025-01-13 08:04:39.910847,4.43,26
2025-01-13 08:04:40.016402,9.86,26
2025-01-13 08:04:40.121903,7.72,26
2025-01-13 08:04:40.226995,0.94,26
2025-01-13 08:04:40.332492,6.67,26
2025-01-13 08:04:40.438066,11.92,26
2025-01-13 08:04:40.539762,8.24,26
2025-01-13 08:04:40.645371,7.61,26
2025-01-13 08:04:40.751029,12.1,26
2025-01-13 08:04:40.856623,13.17,26
2025-01-13 08:04:40.962104,4.89,26
2025-01-13 08:04:41.067880,10.86,26
2025-01-13 08:04:41.172130,4.24,26
2025-01-13 08:04:41.276257,3.19,26
2025-01-13 08:04:41.377518,4.55,26
2025-01-13 08:04:41.479756,4.86,26
2025-01-13 08:04:41.585407,6.6,26
2025-01-13 08:04:41.691105,14.81,26
2025-01-13 08:04:41.795493,4.95,26
2025-01-13 08:04:41.901155,13.6,26
2025-01-13 08:04:42.007306,2.71,26
2025-01-13 08:04:42.113307,13.7,26
2025-01-13 08:04:42.216946,9.64,26
2025-01-13 08:04:42.321349,14.59,26
2025-01-13 08:04:42.426956,13.75,26
2025-01-13 08:04:42.532538,2.94,26
2025-01-13 08:04:42.635094,4.06,26
2025-01-13 08:04:42.740643,0.21,26
2025-01-13 08:04:42.846240,8.78,26
2025-01-13 08:04:42.952504,4.22,26
2025-01-13 08:04:43.058184,5.85,26
2025-01-13 08:04:43.162288,3.06,26
2025-01-13 08:04:43.264408,1.79,26
2025-01-13 08:04:43.367621,8.9,26
2025-01-13 08:04:43.468912,8.16,26
2025-01-13 08:04:43.575144,0.82,26
2025-01-13 08:04:43.679759,12.14,26
2025-01-13 08:04:43.785561,0.1,26
2025-01-13 08:04:43.891610,2.14,26
2025-01-13 08:04:43.993168,3.73,26
2025-01-13 08:04:44.097894,14.5,26
2025-01-13 08:04:44.199892,10.77,26
2025-01-13 08:04:44.301496,8.16,26
2025-01-13 08:04:44.405698,9.85,26
2025-01-13 08:06:11.282278,9.28,0
2025-01-13 08:06:11.757232,14.24,0
2025-01-13 08:06:11.863197,11.41,1
2025-01-13 08:06:11.967819,8.05,2
2025-01-13 08:06:12.073266,11.81,2
2025-01-13 08:06:12.174981,8.6,3
2025-01-13 08:06:12.279243,7.04,3
2025-01-13 08:06:12.385430,11.55,3
2025-01-13 08:06:12.491656,0.8,4
2025-01-13 08:06:12.595499,5.0,4
2025-01-13 08:06:12.701643,12.27,4
2025-01-13 08:06:12.807465,4.56,5
2025-01-13 08:06:12.908186,0.89,5
2025-01-13 08:06:13.014002,5.26,5
2025-01-13 08:06:13.119560,11.46,5
2025-01-13 08:06:13.230955,9.51,6
2025-01-13 08:06:13.334587,7.03,6
2025-01-13 08:06:13.439040,2.64,6
2025-01-13 08:06:13.544668,1.71,6
2025-01-13 08:06:13.650377,7.82,6
2025-01-13 08:06:13.751778,4.04,6
2025-01-13 08:06:13.854237,6.16,6
2025-01-13 08:06:13.957504,7.03,6
2025-01-13 08:06:14.063123,8.89,6
2025-01-13 08:06:14.166553,4.4,6
2025-01-13 08:06:14.268322,11.52,6
2025-01-13 08:06:14.373501,2.55,7
2025-01-13 08:06:14.475669,7.35,7
2025-01-13 08:06:14.581566,3.26,7
2025-01-13 08:06:14.687752,11.19,7
2025-01-13 08:06:14.801446,2.87,8
2025-01-13 08:06:14.906992,5.76,8
2025-01-13 08:06:15.010675,10.56,8
2025-01-13 08:06:15.113615,11.49,9
2025-01-13 08:06:15.246729,10.61,10
2025-01-13 08:06:15.352629,6.86,11
2025-01-13 08:06:15.458220,14.0,11
2025-01-13 08:06:15.580934,5.79,12
2025-01-13 08:06:15.686538,1.58,12
2025-01-13 08:06:15.792294,11.57,12
2025-01-13 08:06:15.896903,0.02,13
2025-01-13 08:06:16.000565,4.91,13
2025-01-13 08:06:16.106315,5.46,13
2025-01-13 08:06:16.211973,2.45,13
2025-01-13 08:06:16.317403,12.88,13
2025-01-13 08:06:16.424160,12.03,14
2025-01-13 08:06:16.530314,5.11,15
2025-01-13 08:06:16.635058,8.17,15
2025-01-13 08:06:16.739680,1.86,15
2025-01-13 08:06:16.845128,13.86,15
2025-01-13 08:06:16.947034,13.04,16
2025-01-13 08:06:17.054330,12.06,17
2025-01-13 08:06:17.162625,3.56,18
2025-01-13 08:06:17.267186,1.24,18
2025-01-13 08:06:17.371777,4.31,18
2025-01-13 08:06:17.495541,4.71,18
2025-01-13 08:06:17.601266,13.77,18
2025-01-13 08:06:17.702918,12.42,18
2025-01-13 08:06:17.808574,7.78,18
2025-01-13 08:06:17.913559,11.51,18
2025-01-13 08:06:18.019205,8.27,18
2025-01-13 08:06:18.124197,10.0,18
2025-01-13 08:06:18.226072,11.65,18
2025-01-13 08:06:18.331081,8.1,18
2025-01-13 08:06:18.436872,0.03,18
2025-01-13 08:06:18.540825,4.18,18
2025-01-13 08:06:18.647002,14.46,18
2025-01-13 08:06:18.752963,15.0,18
2025-01-13 08:06:18.855648,1.82,18
2025-01-13 08:06:18.961474,6.96,18
2025-01-13 08:06:19.063933,5.26,18
2025-01-13 08:06:19.167390,13.29,18
2025-01-13 08:06:19.272051,0.53,18
2025-01-13 08:06:19.375591,10.77,18
2025-01-13 08:06:19.480687,13.69,18
2025-01-13 08:06:19.584053,11.77,18
2025-01-13 08:06:19.689918,8.96,18
2025-01-13 08:06:19.795474,8.43,18
2025-01-13 08:06:19.901258,14.51,18
2025-01-13 08:06:20.006477,4.21,18
2025-01-13 08:06:23.765160,14.73,18
2025-01-13 08:06:23.870704,5.3,18
2025-01-13 08:06:23.974471,11.14,18
2025-01-13 08:06:24.076861,7.88,18
2025-01-13 08:06:24.178976,6.11,18
2025-01-13 08:06:24.280024,11.48,18
2025-01-13 08:06:24.381331,0.16,18
2025-01-13 08:06:24.482062,7.88,18
2025-01-13 08:06:24.586377,14.02,18
2025-01-13 08:06:24.691968,9.56,18
2025-01-13 08:06:24.796710,14.44,18
2025-01-13 08:06:24.901558,0.81,18
2025-01-13 08:06:25.007111,6.17,18
2025-01-13 08:06:25.112467,12.6,18
2025-01-13 08:06:25.217964,5.18,18
2025-01-13 08:06:25.323181,8.77,18
2025-01-13 08:06:25.425939,7.89,18
2025-01-13 08:06:25.531911,13.94,18
2025-01-13 08:06:25.638038,1.31,18
2025-01-13 08:06:25.739500,3.04,18
2025-01-13 08:06:25.844509,7.99,18
2025-01-13 08:06:25.950219,2.03,18
2025-01-13 08:06:26.054651,5.56,18
2025-01-13 08:06:26.159462,7.43,18
2025-01-13 08:06:26.261456,1.91,18
2025-01-13 08:06:26.367562,0.16,18
2025-01-13 08:06:26.469746,3.05,18
2025-01-13 08:06:26.573809,0.52,18
2025-01-13 08:06:26.676704,10.03,18
2025-01-13 08:06:26.777771,4.74,18
2025-01-13 08:06:26.883801,6.09,18
2025-01-13 08:06:26.989850,11.32,18
2025-01-13 08:06:27.094165,14.63,18
2025-01-13 08:06:27.198714,6.31,18
2025-01-13 08:06:27.304058,1.41,18
2025-01-13 08:06:27.409700,12.62,18
2025-01-13 08:06:27.514602,0.6,18
2025-01-13 08:06:27.617920,0.05,18
2025-01-13 08:06:27.723566,9.76,18
2025-01-13 08:06:27.829218,11.07,18
2025-01-13 08:06:27.931450,2.57,18
2025-01-13 08:06:28.037044,2.57,18
2025-01-13 08:06:28.142736,7.67,18
2025-01-13 08:06:28.243941,4.79,18
2025-01-13 08:06:28.346867,0.93,18
2025-01-13 08:06:28.452774,3.98,18
2025-01-13 08:06:28.558429,1.4,18
2025-01-13 08:06:28.664218,13.97,18
2025-01-13 08:06:28.770170,2.44,18
2025-01-13 08:06:28.876240,12.15,18
2025-01-13 08:06:28.977493,5.27,18
2025-01-13 08:06:29.083603,4.82,18
2025-01-13 08:06:29.185090,14.22,18
2025-01-13 08:06:29.291124,6.48,18
2025-01-13 08:06:29.397012,2.3,18
2025-01-13 08:06:29.502912,10.45,18
2025-01-13 08:06:29.605696,9.02,18
2025-01-13 08:06:29.709592,3.36,18
2025-01-13 08:06:29.815726,0.4,18
2025-01-13 08:06:29.918260,11.79,18
2025-01-13 08:06:30.021381,4.55,18
2025-01-13 08:06:30.126947,8.56,18
2025-01-13 08:06:30.232986,14.94,18
2025-01-13 08:06:30.334751,0.3,18
2025-01-13 08:06:30.440766,11.55,18
2025-01-13 08:06:30.546136,12.82,18
2025-01-13 08:06:30.651151,0.37,18
2025-01-13 08:06:30.756807,9.52,18
2025-01-13 08:06:30.859547,10.01,18
2025-01-13 08:06:30.964583,10.86,18
2025-01-13 08:06:31.066082,10.69,18
2025-01-13 08:06:31.170099,11.76,18
2025-01-13 08:06:31.275893,3.89,18
2025-01-13 08:06:31.381133,11.26,18
2025-01-13 08:06:31.487230,2.39,18
2025-01-13 08:06:31.590664,12.99,18
2025-01-13 08:06:31.692723,3.38,18
2025-01-13 08:06:31.798711,1.19,18
2025-01-13 08:06:31.904965,4.83,18
2025-01-13 08:06:32.011274,0.62,18
2025-01-13 08:06:32.115956,2.69,18
2025-01-13 08:06:32.219186,14.32,18
2025-01-13 08:06:32.322811,11.41,18
2025-01-13 08:06:32.428634,13.33,18
2025-01-13 08:06:32.534301,12.89,18
2025-01-13 08:06:32.638478,14.83,18
2025-01-13 08:06:32.743192,8.97,18
2025-01-13 08:06:32.846849,12.69,18
2025-01-13 08:06:32.952882,7.95,18
2025-01-13 08:06:33.057206,12.81,18
2025-01-13 08:06:33.163039,2.39,18
2025-01-13 08:06:33.268231,6.98,18
2025-01-13 08:06:33.372259,3.75,18
2025-01-13 08:06:33.477921,7.39,18
2025-01-13 08:06:33.582235,7.82,18
2025-01-13 08:06:33.686143,5.67,18
2025-01-13 08:06:33.788471,1.07,18
2025-01-13 08:06:33.898753,10.31,18
2025-01-13 08:06:34.001750,8.12,18
2025-01-13 08:06:34.107318,6.56,18
2025-01-13 08:06:34.208287,9.16,18
